Site_Code,Item_Description,UPC,Sale_Date,Unit_Price,Final_Total
SW_02,Celsius Arctic Berry,889392014,2025-06-09,3.50,3.82
SW_02,Muscle Milk Vanilla,520000519,2025-06-09,3.50,3.82
SW_01,Red Bull Energy,9002490100,2025-06-09,2.99,3.26
SW_03,Monster Energy Ultra,70847811063,2025-06-08,2.99,3.26
RETAIL_01,Coca-Cola Classic,49000028911,2025-06-08,1.99,2.17
RETAIL_02,Pepsi Cola,12000171789,2025-06-08,1.99,2.17
SW_01,Snickers Bar,40000000396,2025-06-07,1.50,1.64
SW_02,Doritos Nacho Cheese,28400064057,2025-06-07,2.25,2.46
SW_03,Lays Classic,28400310505,2025-06-07,2.25,2.46
RETAIL_01,Twix Bar,40000445722,2025-06-06,1.50,1.64
RETAIL_02,Gatorade Blue,52000338355,2025-06-06,2.49,2.72
SW_01,Dasani Water,49000028904,2025-06-06,1.25,1.36
SW_02,Pringles Original,38000845407,2025-06-05,2.75,3.00
SW_03,KitKat Bar,34000002214,2025-06-05,1.50,1.64
RETAIL_01,Cheetos Crunchy,28400647595,2025-06-05,2.25,2.46
SW_01,Celsius Arctic Berry,889392014,2025-06-04,3.50,3.82
RETAIL_02,Monster Energy Ultra,70847811063,2025-06-04,2.99,3.26
SW_02,Coca-Cola Classic,49000028911,2025-06-04,1.99,2.17
SW_03,Snickers Bar,40000000396,2025-06-03,1.50,1.64
RETAIL_01,Muscle Milk Vanilla,520000519,2025-06-03,3.50,3.82
