Location_ID,Product_Name,Scancode,Trans_Date,Price,Total_Amount
2.0_SW_02,Celsius Arctic Berry,889392014,06/09/2025,3.50,3.82
2.0_SW_02,Muscle Milk Vanilla,520000519,06/09/2025,3.50,3.82
2.0_SW_01,Red Bull Energy,9002490100,06/09/2025,2.99,3.26
SW_01,Monster Energy Ultra,70847811063,06/08/2025,2.99,3.26
SW_02,Coca-Cola Classic,49000028911,06/08/2025,1.99,2.17
2.0_SW_01,Pepsi Cola,12000171789,06/08/2025,1.99,2.17
SW_03,Snickers Bar,40000000396,06/07/2025,1.50,1.64
RETAIL_01,Doritos Nacho Cheese,28400064057,06/07/2025,2.25,2.46
RETAIL_02,Lays Classic,28400310505,06/07/2025,2.25,2.46
SW_01,Twix Bar,40000445722,06/06/2025,1.50,1.64
2.0_SW_02,Gatorade Blue,52000338355,06/06/2025,2.49,2.72
SW_02,Dasani Water,49000028904,06/06/2025,1.25,1.36
SW_03,Pringles Original,38000845407,06/05/2025,2.75,3.00
2.0_SW_01,KitKat Bar,34000002214,06/05/2025,1.50,1.64
RETAIL_01,Cheetos Crunchy,28400647595,06/05/2025,2.25,2.46
SW_01,Celsius Arctic Berry,889392014,06/04/2025,3.50,3.82
SW_02,Monster Energy Ultra,70847811063,06/04/2025,2.99,3.26
2.0_SW_02,Coca-Cola Classic,49000028911,06/04/2025,1.99,2.17
SW_03,Snickers Bar,40000000396,06/03/2025,1.50,1.64
RETAIL_02,Muscle Milk Vanilla,520000519,06/03/2025,3.50,3.82
